,FIPS,Unemployment_rate_2019
0,0,3.7
1,1000,3.0
2,1001,2.7
3,1003,2.7
4,1005,3.8
5,1007,3.1
6,1009,2.7
7,1011,3.6
8,1013,3.6
9,1015,3.5
10,1017,2.9
11,1019,2.9
12,1021,2.7
13,1023,4.7
14,1025,5.8
15,1027,3.0
16,1029,3.2
17,1031,2.9
18,1033,3.7
19,1035,4.0
20,1037,3.0
21,1039,3.4
22,1041,2.8
23,1043,2.6
24,1045,3.1
25,1047,5.5
26,1049,2.8
27,1051,2.6
28,1053,3.5
29,1055,3.3
30,1057,3.1
31,1059,2.8
32,1061,2.9
33,1063,5.6
34,1065,3.9
35,1067,3.6
36,1069,3.0
37,1071,3.3
38,1073,2.9
39,1075,3.1
40,1077,3.3
41,1079,3.1
42,1081,2.7
43,1083,2.6
44,1085,5.7
45,1087,4.3
46,1089,2.5
47,1091,3.5
48,1093,3.4
49,1095,2.5
50,1097,3.7
51,1099,4.9
52,1101,3.1
53,1103,2.6
54,1105,5.2
55,1107,3.5
56,1109,3.3
57,1111,3.0
58,1113,2.9
59,1115,2.7
60,1117,2.2
61,1119,4.5
62,1121,3.4
63,1123,3.0
64,1125,2.7
65,1127,3.3
66,1129,4.6
67,1131,7.1
68,1133,3.3
69,2000,6.1
70,2013,2.8
71,2016,3.6
72,2020,5.1
73,2050,12.9
74,2060,6.1
75,2068,8.5
76,2070,8.1
77,2090,5.4
78,2100,8.9
79,2105,11.4
80,2110,4.4
81,2122,6.8
82,2130,6.2
83,2150,5.6
84,2158,19.3
85,2164,9.9
86,2170,6.9
87,2180,10.9
88,2185,6.4
89,2188,14.0
90,2195,8.7
91,2198,10.1
92,2201,
93,2220,4.2
94,2230,9.2
95,2232,
96,2240,9.0
97,2261,7.5
98,2275,7.7
99,2280,
100,2282,7.7
101,2290,14.0
102,4000,4.7
103,4001,9.9
104,4003,5.7
105,4005,5.5
106,4007,5.5
107,4009,4.8
108,4011,3.9
109,4012,5.8
110,4013,4.0
111,4015,5.7
112,4017,7.3
113,4019,4.4
114,4021,4.9
115,4023,8.5
116,4025,4.4
117,4027,16.4
118,5000,3.5
119,5001,3.0
120,5003,5.4
121,5005,4.0
122,5007,2.6
123,5009,3.2
124,5011,4.1
125,5013,4.4
126,5015,3.1
127,5017,6.9
128,5019,3.8
129,5021,4.9
130,5023,4.5
131,5025,3.9
132,5027,4.5
133,5029,4.3
134,5031,2.8
135,5033,3.3
136,5035,4.2
137,5037,4.2
138,5039,4.7
139,5041,4.5
140,5043,5.2
141,5045,3.0
142,5047,3.4
143,5049,4.0
144,5051,3.7
145,5053,3.2
146,5055,3.5
147,5057,3.8
148,5059,3.6
149,5061,3.3
150,5063,4.0
151,5065,5.5
152,5067,6.5
153,5069,5.5
154,5071,4.6
155,5073,4.7
156,5075,4.2
157,5077,4.5
158,5079,4.4
159,5081,4.3
160,5083,4.3
161,5085,3.2
162,5087,2.5
163,5089,4.0
164,5091,4.1
165,5093,5.1
166,5095,4.3
167,5097,4.6
168,5099,4.0
169,5101,3.5
170,5103,5.2
171,5105,4.1
172,5107,6.0
173,5109,3.9
174,5111,3.4
175,5113,4.2
176,5115,4.3
177,5117,4.4
178,5119,3.4
179,5121,3.9
180,5123,5.2
181,5125,2.8
182,5127,3.4
183,5129,4.6
184,5131,3.3
185,5133,4.8
186,5135,5.0
187,5137,4.7
188,5139,5.2
189,5141,5.0
190,5143,2.4
191,5145,4.5
192,5147,5.3
193,5149,4.0
194,6000,4.0
195,6001,2.9
196,6003,5.1
197,6005,3.8
198,6007,5.1
199,6009,3.8
200,6011,12.8
201,6013,3.1
202,6015,5.7
203,6017,3.5
204,6019,7.2
205,6021,6.1
206,6023,3.6
207,6025,18.3
208,6027,3.5
209,6029,7.7
210,6031,7.9
211,6033,5.0
212,6035,4.6
213,6037,4.4
214,6039,6.9
215,6041,2.3
216,6043,4.6
217,6045,4.0
218,6047,8.1
219,6049,7.1
220,6051,3.7
221,6053,6.2
222,6055,2.8
223,6057,3.3
224,6059,2.8
225,6061,3.1
226,6063,7.7
227,6065,4.2
228,6067,3.7
229,6069,5.0
230,6071,3.8
231,6073,3.2
232,6075,2.2
233,6077,5.9
234,6079,2.9
235,6081,2.0
236,6083,3.7
237,6085,2.5
238,6087,4.7
239,6089,4.7
240,6091,5.4
241,6093,6.5
242,6095,3.7
243,6097,2.7
244,6099,6.0
245,6101,7.3
246,6103,5.5
247,6105,5.5
248,6107,9.6
249,6109,4.5
250,6111,3.6
251,6113,4.1
252,6115,6.1
253,8000,2.8
254,8001,2.9
255,8003,3.6
256,8005,2.7
257,8007,3.2
258,8009,1.7
259,8011,2.9
260,8013,2.4
261,8014,2.4
262,8015,2.4
263,8017,1.6
264,8019,2.5
265,8021,3.6
266,8023,3.9
267,8025,4.3
268,8027,3.0
269,8029,3.3
270,8031,2.7
271,8033,3.0
272,8035,2.4
273,8037,2.2
274,8039,2.2
275,8041,3.3
276,8043,4.6
277,8045,2.7
278,8047,2.3
279,8049,2.1
280,8051,2.1
281,8053,3.7
282,8055,5.7
283,8057,2.3
284,8059,2.5
285,8061,1.6
286,8063,1.7
287,8065,2.3
288,8067,2.5
289,8069,2.4
290,8071,3.9
291,8073,2.3
292,8075,2.4
293,8077,3.4
294,8079,2.3
295,8081,3.4
296,8083,4.2
297,8085,3.1
298,8087,2.6
299,8089,4.1
300,8091,2.9
301,8093,2.5
302,8095,1.6
303,8097,3.1
304,8099,2.6
305,8101,4.1
306,8103,3.7
307,8105,4.1
308,8107,2.2
309,8109,4.0
310,8111,3.0
311,8113,2.8
312,8115,2.0
313,8117,1.8
314,8119,3.1
315,8121,2.0
316,8123,2.5
317,8125,1.6
318,9000,3.7
319,9001,3.6
320,9003,3.9
321,9005,3.5
322,9007,3.2
323,9009,3.9
324,9011,3.6
325,9013,3.3
326,9015,4.0
327,10000,3.8
328,10001,4.2
329,10003,3.7
330,10005,3.8
331,11000,5.5
332,11001,5.5
333,12000,3.1
334,12001,2.9
335,12003,3.1
336,12005,3.9
337,12007,3.1
338,12009,3.2
339,12011,3.0
340,12013,4.1
341,12015,3.7
342,12017,4.8
343,12019,3.0
344,12021,3.1
345,12023,3.2
346,12027,3.5
347,12029,3.8
348,12031,3.3
349,12033,3.2
350,12035,3.8
351,12037,3.5
352,12039,4.1
353,12041,3.4
354,12043,3.9
355,12045,4.8
356,12047,4.1
357,12049,5.0
358,12051,5.8
359,12053,4.2
360,12055,4.5
361,12057,3.1
362,12059,3.5
363,12061,3.8
364,12063,3.6
365,12065,3.3
366,12067,3.0
367,12069,3.2
368,12071,3.1
369,12073,3.1
370,12075,3.7
371,12077,3.6
372,12079,3.8
373,12081,3.1
374,12083,3.8
375,12085,3.1
376,12086,2.4
377,12087,2.1
378,12089,2.9
379,12091,2.7
380,12093,3.5
381,12095,2.9
382,12097,3.3
383,12099,3.3
384,12101,3.5
385,12103,3.0
386,12105,3.7
387,12107,4.3
388,12109,2.6
389,12111,3.9
390,12113,3.0
391,12115,3.1
392,12117,2.9
393,12119,4.6
394,12121,3.4
395,12123,3.6
396,12125,3.0
397,12127,3.4
398,12129,2.9
399,12131,2.8
400,12133,3.4
401,13000,3.4
402,13001,3.9
403,13003,3.0
404,13005,3.5
405,13007,4.7
406,13009,4.2
407,13011,2.7
408,13013,2.8
409,13015,3.3
410,13017,5.5
411,13019,4.0
412,13021,3.9
413,13023,5.0
414,13025,4.1
415,13027,3.4
416,13029,3.0
417,13031,3.7
418,13033,5.1
419,13035,3.4
420,13037,3.6
421,13039,3.6
422,13043,3.0
423,13045,3.4
424,13047,3.0
425,13049,3.8
426,13051,3.3
427,13053,4.6
428,13055,5.0
429,13057,2.7
430,13059,3.6
431,13061,6.9
432,13063,4.2
433,13065,3.9
434,13067,3.0
435,13069,3.9
436,13071,3.2
437,13073,3.0
438,13075,3.4
439,13077,2.9
440,13079,3.6
441,13081,3.9
442,13083,3.3
443,13085,2.8
444,13087,3.8
445,13089,3.4
446,13091,5.4
447,13093,3.8
448,13095,4.7
449,13097,3.5
450,13099,3.9
451,13101,2.8
452,13103,2.9
453,13105,4.0
454,13107,5.3
455,13109,3.4
456,13111,3.3
457,13113,3.0
458,13115,3.8
459,13117,2.7
460,13119,3.5
461,13121,3.5
462,13123,3.5
463,13125,3.7
464,13127,3.3
465,13129,3.4
