,FIPS,Unemployment_rate_2018
354,12043,4.0
355,12045,4.5
356,12047,4.2
357,12049,5.3
358,12051,6.2
359,12053,4.6
360,12055,4.9
361,12057,3.5
362,12059,4.0
363,12061,4.4
364,12063,4.1
365,12065,3.8
366,12067,3.4
367,12069,3.6
368,12071,3.5
369,12073,3.4
370,12075,3.9
371,12077,4.0
372,12079,4.0
373,12081,3.5
374,12083,4.4
375,12085,3.6
376,12086,3.5
377,12087,2.6
378,12089,3.3
379,12091,3.0
380,12093,3.8
381,12095,3.3
382,12097,3.7
383,12099,3.6
384,12101,3.9
385,12103,3.4
386,12105,4.2
387,12107,4.9
388,12109,2.9
389,12111,4.5
390,12113,3.4
391,12115,3.5
392,12117,3.3
393,12119,5.2
394,12121,3.8
395,12123,3.9
396,12125,3.3
397,12127,3.8
398,12129,3.2
399,12131,3.2
400,12133,3.9
401,13000,3.9
402,13001,4.3
403,13003,3.5
404,13005,3.8
405,13007,5.3
406,13009,4.9
407,13011,3.1
408,13013,3.3
409,13015,3.8
410,13017,5.9
411,13019,4.2
412,13021,4.5
413,13023,5.8
414,13025,4.5
415,13027,3.9
416,13029,3.4
417,13031,4.3
418,13033,6.1
419,13035,4.1
420,13037,4.2
421,13039,4.2
422,13043,3.4
423,13045,4.0
424,13047,3.4
425,13049,4.3
426,13051,3.7
427,13053,5.5
428,13055,4.1
429,13057,3.1
430,13059,4.0
431,13061,7.5
432,13063,4.9
433,13065,4.5
434,13067,3.4
435,13069,4.5
436,13071,3.7
437,13073,3.5
438,13075,3.8
439,13077,3.4
440,13079,4.1
441,13081,4.8
442,13083,3.6
443,13085,3.3
444,13087,4.7
445,13089,4.0
446,13091,5.2
447,13093,4.7
448,13095,5.4
449,13097,4.1
450,13099,4.6
451,13101,3.2
452,13103,3.3
453,13105,4.8
454,13107,5.9
455,13109,3.7
456,13111,4.0
457,13113,3.5
458,13115,4.3
459,13117,3.2
460,13119,3.8
461,13121,4.0
462,13123,4.2
463,13125,4.1
464,13127,3.7
465,13129,3.8
466,13131,3.8
467,13133,4.3
468,13135,3.5
469,13137,3.7
470,13139,3.2
471,13141,5.9
472,13143,3.8
473,13145,3.4
474,13147,3.6
475,13149,3.9
476,13151,4.1
477,13153,4.0
478,13155,5.6
479,13157,3.1
480,13159,3.5
481,13161,4.8
482,13163,5.3
483,13165,5.3
484,13167,3.9
485,13169,3.6
486,13171,4.6
487,13173,4.5
488,13175,4.8
489,13177,3.6
490,13179,4.3
491,13181,4.9
492,13183,3.9
493,13185,4.1
494,13187,3.6
495,13189,5.6
496,13191,4.0
497,13193,6.2
498,13195,3.5
499,13197,5.2
500,13199,5.0
501,13201,3.7
502,13205,5.4
503,13207,3.6
504,13209,5.7
505,13211,3.6
506,13213,5.3
507,13215,5.1
508,13217,4.5
509,13219,2.9
510,13221,3.7
511,13223,3.4
512,13225,5.2
513,13227,3.5
514,13229,3.8
515,13231,3.6
516,13233,4.2
517,13235,4.4
518,13237,5.0
519,13239,5.6
520,13241,4.0
521,13243,5.6
522,13245,5.2
523,13247,4.4
524,13249,4.6
525,13251,5.4
526,13253,5.3
527,13255,4.7
528,13257,4.6
529,13259,4.8
530,13261,5.9
531,13263,5.0
532,13265,5.3
533,13267,4.2
534,13269,6.5
535,13271,6.7
536,13273,6.7
537,13275,4.7
538,13277,4.0
539,13279,5.8
540,13281,5.6
541,13283,5.8
542,13285,3.7
543,13287,5.0
544,13289,5.9
545,13291,3.7
546,13293,4.4
547,13295,3.8
548,13297,3.6
549,13299,3.9
550,13301,4.9
551,13303,5.0
552,13305,4.6
553,13307,6.2
554,13309,7.3
555,13311,3.0
556,13313,4.8
557,13315,5.2
