county_code,unemployment_rate_2019
0,3.7
1000,3.0
1001,2.7
1003,2.7
1005,3.8
1007,3.1
1009,2.7
1011,3.6
1013,3.6
1015,3.5
1017,2.9
1019,2.9
1021,2.7
1023,4.7
1025,5.8
1027,3.0
1029,3.2
1031,2.9
1033,3.7
1035,4.0
1037,3.0
1039,3.4
1041,2.8
1043,2.6
1045,3.1
1047,5.5
1049,2.8
1051,2.6
1053,3.5
1055,3.3
1057,3.1
1059,2.8
1061,2.9
1063,5.6
1065,3.9
1067,3.6
1069,3.0
1071,3.3
1073,2.9
1075,3.1
1077,3.3
1079,3.1
1081,2.7
1083,2.6
1085,5.7
1087,4.3
1089,2.5
1091,3.5
1093,3.4
1095,2.5
1097,3.7
1099,4.9
1101,3.1
1103,2.6
1105,5.2
1107,3.5
1109,3.3
1111,3.0
1113,2.9
1115,2.7
1117,2.2
1119,4.5
1121,3.4
1123,3.0
1125,2.7
1127,3.3
1129,4.6
1131,7.1
1133,3.3
2000,6.1
2013,2.8
2016,3.6
2020,5.1
2050,12.9
2060,6.1
2068,8.5
2070,8.1
2090,5.4
2100,8.9
2105,11.4
2110,4.4
2122,6.8
2130,6.2
2150,5.6
2158,19.3
2164,9.9
2170,6.9
2180,10.9
2185,6.4
2188,14.0
2195,8.7
2198,10.1
2201,
2220,4.2
2230,9.2
2232,
2240,9.0
2261,7.5
2275,7.7
2280,
2282,7.7
2290,14.0
4000,4.7
4001,9.9
4003,5.7
4005,5.5
4007,5.5
4009,4.8
4011,3.9
4012,5.8
4013,4.0
4015,5.7
4017,7.3
4019,4.4
4021,4.9
4023,8.5
4025,4.4
4027,16.4
5000,3.5
5001,3.0
5003,5.4
5005,4.0
5007,2.6
5009,3.2
5011,4.1
5013,4.4
5015,3.1
5017,6.9
5019,3.8
5021,4.9
5023,4.5
5025,3.9
5027,4.5
5029,4.3
5031,2.8
5033,3.3
5035,4.2
5037,4.2
5039,4.7
5041,4.5
5043,5.2
5045,3.0
5047,3.4
5049,4.0
5051,3.7
5053,3.2
5055,3.5
5057,3.8
5059,3.6
5061,3.3
5063,4.0
5065,5.5
5067,6.5
5069,5.5
5071,4.6
5073,4.7
5075,4.2
5077,4.5
5079,4.4
5081,4.3
5083,4.3
5085,3.2
5087,2.5
5089,4.0
5091,4.1
5093,5.1
5095,4.3
5097,4.6
5099,4.0
5101,3.5
5103,5.2
5105,4.1
5107,6.0
5109,3.9
5111,3.4
5113,4.2
5115,4.3
5117,4.4
5119,3.4
5121,3.9
5123,5.2
5125,2.8
5127,3.4
5129,4.6
5131,3.3
5133,4.8
5135,5.0
5137,4.7
5139,5.2
5141,5.0
5143,2.4
5145,4.5
5147,5.3
5149,4.0
6000,4.0
6001,2.9
6003,5.1
6005,3.8
6007,5.1
6009,3.8
6011,12.8
6013,3.1
6015,5.7
6017,3.5
6019,7.2
6021,6.1
6023,3.6
6025,18.3
6027,3.5
6029,7.7
6031,7.9
6033,5.0
6035,4.6
6037,4.4
6039,6.9
6041,2.3
6043,4.6
6045,4.0
6047,8.1
6049,7.1
6051,3.7
6053,6.2
6055,2.8
6057,3.3
6059,2.8
6061,3.1
6063,7.7
6065,4.2
6067,3.7
6069,5.0
6071,3.8
6073,3.2
6075,2.2
6077,5.9
6079,2.9
6081,2.0
6083,3.7
6085,2.5
6087,4.7
6089,4.7
6091,5.4
6093,6.5
6095,3.7
6097,2.7
6099,6.0
6101,7.3
6103,5.5
6105,5.5
6107,9.6
6109,4.5
6111,3.6
6113,4.1
6115,6.1
8000,2.8
8001,2.9
8003,3.6
8005,2.7
8007,3.2
8009,1.7
8011,2.9
8013,2.4
8014,2.4
8015,2.4
8017,1.6
8019,2.5
8021,3.6
8023,3.9
8025,4.3
8027,3.0
8029,3.3
8031,2.7
8033,3.0
8035,2.4
8037,2.2
8039,2.2
8041,3.3
8043,4.6
8045,2.7
8047,2.3
8049,2.1
8051,2.1
8053,3.7
8055,5.7
8057,2.3
8059,2.5
8061,1.6
8063,1.7
8065,2.3
8067,2.5
8069,2.4
8071,3.9
8073,2.3
8075,2.4
8077,3.4
8079,2.3
8081,3.4
8083,4.2
8085,3.1
8087,2.6
8089,4.1
8091,2.9
8093,2.5
8095,1.6
8097,3.1
8099,2.6
8101,4.1
8103,3.7
8105,4.1
8107,2.2
8109,4.0
8111,3.0
8113,2.8
8115,2.0
8117,1.8
8119,3.1
8121,2.0
8123,2.5
8125,1.6
9000,3.7
9001,3.6
9003,3.9
9005,3.5
9007,3.2
9009,3.9
9011,3.6
9013,3.3
9015,4.0
10000,3.8
10001,4.2
10003,3.7
10005,3.8
11000,5.5
11001,5.5
12000,3.1
12001,2.9
12003,3.1
12005,3.9
12007,3.1
12009,3.2
12011,3.0
12013,4.1
12015,3.7
12017,4.8
12019,3.0
12021,3.1
12023,3.2
12027,3.5
12029,3.8
12031,3.3
12033,3.2
12035,3.8
12037,3.5
12039,4.1
12041,3.4
12043,3.9
12045,4.8
12047,4.1
12049,5.0
12051,5.8
12053,4.2
12055,4.5
12057,3.1
12059,3.5
12061,3.8
12063,3.6
12065,3.3
12067,3.0
12069,3.2
12071,3.1
12073,3.1
12075,3.7
12077,3.6
12079,3.8
12081,3.1
12083,3.8
12085,3.1
12086,2.4
12087,2.1
12089,2.9
12091,2.7
12093,3.5
12095,2.9
12097,3.3
12099,3.3
12101,3.5
12103,3.0
12105,3.7
12107,4.3
12109,2.6
12111,3.9
12113,3.0
12115,3.1
12117,2.9
12119,4.6
12121,3.4
12123,3.6
12125,3.0
12127,3.4
12129,2.9
12131,2.8
12133,3.4
13000,3.4
13001,3.9
13003,3.0
13005,3.5
13007,4.7
13009,4.2
13011,2.7
13013,2.8
13015,3.3
13017,5.5
13019,4.0
13021,3.9
13023,5.0
13025,4.1
13027,3.4
13029,3.0
13031,3.7
13033,5.1
13035,3.4
13037,3.6
13039,3.6
13043,3.0
13045,3.4
13047,3.0
13049,3.8
13051,3.3
13053,4.6
13055,5.0
13057,2.7
13059,3.6
13061,6.9
13063,4.2
13065,3.9
13067,3.0
13069,3.9
13071,3.2
13073,3.0
13075,3.4
13077,2.9
13079,3.6
13081,3.9
13083,3.3
13085,2.8
13087,3.8
13089,3.4
13091,5.4
13093,3.8
13095,4.7
13097,3.5
13099,3.9
13101,2.8
13103,2.9
13105,4.0
13107,5.3
13109,3.4
13111,3.3
13113,3.0
13115,3.8
13117,2.7
13119,3.5
13121,3.5
13123,3.5
13125,3.7
13127,3.3
13129,3.4
13131,3.4
13133,3.9
13135,3.0
13137,3.5
13139,2.8
13141,5.5
13143,3.3
13145,3.1
13147,3.5
13149,3.3
13151,3.5
13153,3.3
13155,4.7
13157,2.7
13159,3.1
13161,4.6
13163,4.7
13165,5.1
13167,3.6
13169,3.2
13171,3.9
13173,3.9
13175,4.6
13177,3.1
13179,3.7
13181,3.9
13183,3.6
13185,3.5
13187,3.1
13189,5.1
13191,3.6
13193,4.6
13195,3.0
13197,4.2
13199,4.5
13201,3.3
13205,4.6
13207,3.2
13209,5.3
13211,3.1
13213,5.0
13215,4.5
13217,3.9
13219,2.5
13221,3.2
13223,2.9
13225,4.1
13227,3.0
13229,3.4
13231,3.0
13233,3.6
13235,3.8
13237,4.3
13239,5.0
13241,3.5
13243,4.8
13245,4.5
13247,3.8
13249,3.9
13251,5.4
13253,4.4
13255,4.0
13257,3.9
13259,4.2
13261,4.8
13263,4.5
13265,4.9
13267,3.8
13269,4.0
13271,9.5
13273,5.0
13275,4.0
13277,3.4
13279,4.9
13281,4.8
13283,5.3
13285,3.2
13287,3.8
13289,5.4
13291,3.1
13293,3.6
13295,3.6
13297,3.1
13299,3.7
13301,4.5
13303,4.1
13305,4.0
13307,5.0
13309,7.5
13311,2.6
13313,4.4
13315,4.5
13317,4.5
13319,3.8
13321,3.9
15000,2.7
15001,3.4
15003,2.6
15007,2.7
15009,2.6
16000,2.9
16001,2.5
16003,6.8
16005,2.8
16007,2.9
16009,5.2
16011,2.7
16013,2.6
16015,4.3
16017,4.2
16019,2.4
16021,4.4
16023,2.6
16025,2.7
16027,3.2
16029,2.7
16031,2.4
16033,3.7
16035,6.8
16037,4.2
16039,3.3
16041,2.3
16043,2.3
16045,3.3
16047,2.6
16049,4.5
16051,2.3
16053,2.6
16055,3.6
16057,2.7
16059,4.8
16061,5.5
16063,3.6
16065,1.8
16067,2.5
16069,2.8
16071,2.3
16073,3.4
16075,3.6
16077,3.1
16079,5.9
16081,2.2
16083,2.8
16085,3.9
16087,4.2
17000,4.0
17001,3.4
17003,6.2
17005,3.8
17007,5.6
17009,2.4
17011,4.6
17013,4.8
17015,4.1
17017,4.1
17019,3.8
17021,4.8
17023,4.5
17025,4.5
17027,3.1
17029,4.0
17031,3.8
17033,4.3
17035,3.4
17037,4.1
17039,4.3
17041,3.6
17043,2.9
17045,4.2
17047,4.1
17049,3.3
17051,4.4
17053,4.3
17055,5.4
17057,5.6
17059,4.9
17061,4.3
17063,4.5
17065,3.9
17067,4.7
17069,6.6
17071,4.8
17073,4.8
17075,4.2
17077,3.8
17079,4.2
17081,4.6
17083,4.4
17085,4.1
17087,6.0
17089,4.4
17091,5.0
17093,3.3
17095,5.0
17097,4.1
17099,5.3
17101,5.2
17103,4.0
17105,4.1
17107,4.3
17109,4.7
17111,3.3
17113,3.8
17115,5.3
17117,4.3
17119,3.9
17121,4.5
17123,4.8
17125,5.3
17127,5.6
17129,3.8
17131,5.0
17133,3.1
17135,5.2
17137,4.0
17139,3.3
17141,4.8
17143,5.1
17145,5.1
17147,3.6
17149,4.3
17151,5.6
17153,6.6
17155,5.0
17157,3.7
17159,4.1
17161,4.9
17163,4.5
17165,5.3
17167,4.0
17169,4.2
17171,4.7
17173,3.9
17175,5.7
17177,4.4
17179,4.4
17181,5.7
17183,5.1
17185,3.8
17187,4.1
17189,2.5
17191,4.8
17193,3.8
17195,4.3
17197,3.8
17199,4.3
17201,5.7
17203,3.7
18000,3.3
18001,2.7
18003,3.1
18005,2.5
18007,3.2
18009,4.0
18011,2.5
18013,3.0
18015,3.0
18017,3.5
18019,3.3
18021,3.5
18023,2.7
18025,4.1
18027,2.6
18029,3.6
18031,2.9
18033,2.8
18035,3.9
18037,2.4
18039,3.1
18041,4.7
18043,3.2
18045,3.5
18047,3.4
18049,3.2
18051,2.5
18053,3.7
18055,4.1
18057,2.5
18059,2.8
18061,3.2
18063,2.7
18065,3.3
18067,4.0
18069,3.3
18071,2.6
18073,3.7
18075,3.0
18077,3.4
18079,3.3
18081,2.7
18083,3.1
18085,2.8
18087,2.8
18089,4.9
18091,4.3
18093,3.6
