county_code,income,loan_amount
1001.0,45.0,145000.0
1003.0,48.0,155000.0
1005.0,28.0,85000.0
1007.0,36.0,75000.0
1009.0,37.0,125000.0
1011.0,30.0,55000.0
1013.0,32.5,70000.0
1015.0,35.0,95000.0
1017.0,31.0,85000.0
1019.0,36.5,85000.0
1021.0,36.5,95000.0
1023.0,28.0,55000.0
1025.0,40.0,95000.0
1027.0,35.0,75000.0
1029.0,38.0,125000.0
1031.0,44.0,115000.0
1033.0,34.5,85000.0
1035.0,32.0,65000.0
1037.0,43.0,105000.0
1039.0,34.0,85000.0
1041.0,37.5,75000.0
1043.0,38.0,105000.0
1045.0,36.0,95000.0
1047.0,34.0,85000.0
1049.0,34.0,95000.0
1051.0,41.0,135000.0
1053.0,36.0,95000.0
1055.0,34.0,100000.0
1057.0,33.0,75000.0
1059.0,33.0,75000.0
1061.0,33.0,85000.0
1063.0,31.5,55000.0
1065.0,36.0,85000.0
1067.0,41.0,105000.0
1069.0,37.0,105000.0
1071.0,40.0,95000.0
1073.0,44.0,135000.0
1075.0,31.0,75000.0
1077.0,37.0,95000.0
1079.0,35.0,85000.0
1081.0,46.0,155000.0
1083.0,44.0,135000.0
1085.0,30.0,95000.0
1087.0,25.0,75000.0
1089.0,48.0,155000.0
1091.0,44.0,85000.0
1093.0,29.0,85000.0
1095.0,35.0,105000.0
1097.0,38.0,115000.0
1099.0,32.5,75000.0
1101.0,40.0,115000.0
1103.0,36.0,105000.0
1105.0,30.5,45000.0
1107.0,32.0,75000.0
1109.0,40.5,135000.0
1111.0,39.0,105000.0
1113.0,39.0,125000.0
1115.0,43.0,155000.0
1117.0,48.0,165000.0
1119.0,33.0,55000.0
1121.0,34.0,85000.0
1123.0,43.0,105000.0
1125.0,41.0,145000.0
1127.0,36.0,95000.0
1129.0,43.0,95000.0
1131.0,32.0,65000.0
1133.0,38.5,85000.0
2016.0,98.0,265000.0
2020.0,60.0,225000.0
2050.0,70.0,275000.0
