county_code,income,loan_amount
91,175.0,365000.0
139,284.0,215000.0
170,130.0,355000.0
1001,42.0,135000.0
1003,46.0,155000.0
1005,32.0,100000.0
1007,37.5,95000.0
1009,36.0,115000.0
1011,32.0,65000.0
1013,33.0,80000.0
1015,35.0,95000.0
1017,29.0,75000.0
1019,36.0,95000.0
1021,37.0,95000.0
1023,33.0,65000.0
1025,40.0,65000.0
1027,34.5,90000.0
1029,40.5,95000.0
1031,38.5,105000.0
1033,34.0,85000.0
1035,31.0,95000.0
1037,35.5,80000.0
1039,34.0,85000.0
1041,35.0,65000.0
1043,34.0,105000.0
1045,33.0,85000.0
1047,36.5,65000.0
1049,31.0,95000.0
1051,38.0,125000.0
1053,34.0,85000.0
1055,34.0,95000.0
1057,33.0,85000.0
1059,33.0,75000.0
1061,36.5,85000.0
1063,37.0,45000.0
1065,34.5,85000.0
1067,38.0,85000.0
1069,37.0,115000.0
1071,33.0,95000.0
1073,42.0,125000.0
1075,37.0,65000.0
1077,36.0,95000.0
1079,34.0,85000.0
1081,46.0,155000.0
1083,43.0,125000.0
1085,48.0,135000.0
1087,50.0,115000.0
1089,44.0,135000.0
1091,35.5,80000.0
1093,31.0,85000.0
1095,33.0,95000.0
1097,38.0,115000.0
1099,32.0,75000.0
1101,38.0,105000.0
1103,35.0,95000.0
1105,35.0,55000.0
1107,36.5,80000.0
1109,41.0,125000.0
1111,35.0,75000.0
1113,37.0,105000.0
1115,42.0,135000.0
1117,46.0,155000.0
1119,40.0,60000.0
1121,35.0,85000.0
1123,44.0,105000.0
1125,41.0,135000.0
1127,36.5,85000.0
1129,41.0,75000.0
1131,52.0,105000.0
1133,43.0,85000.0
2013,95.0,135000.0
2016,101.5,360000.0
2020,60.0,225000.0
2050,60.0,255000.0
2060,51.0,125000.0
2068,71.0,155000.0
2070,68.5,255000.0
2090,59.5,195000.0
2100,50.0,165000.0
2105,53.0,165000.0
2110,65.0,245000.0
2122,52.0,180000.0
2130,57.0,215000.0
2150,69.0,290000.0
2164,126.0,205000.0
2170,56.0,205000.0
2180,76.0,215000.0
2185,70.0,235000.0
2188,112.0,215000.0
2195,53.0,175000.0
2198,53.0,200000.0
2220,68.0,305000.0
2230,52.0,255000.0
2240,57.0,150000.0
2261,64.0,205000.0
2275,62.0,225000.0
2282,165.0,105000.0
2290,44.0,105000.0
4001,37.0,115000.0
4003,34.0,105000.0
4005,60.0,235000.0
4007,44.0,145000.0
4009,41.0,135000.0
4011,45.5,80000.0
4012,41.0,105000.0
4013,49.0,195000.0
4015,38.0,125000.0
4017,44.0,135000.0
4019,42.0,145000.0
4021,43.0,165000.0
4023,31.0,115000.0
4025,45.0,175000.0
4027,35.0,125000.0
5001,31.0,85000.0
5003,35.0,55000.0
5005,31.0,85000.0
5007,44.0,135000.0
5009,33.0,95000.0
5011,34.5,75000.0
5013,43.0,80000.0
5015,33.0,95000.0
5017,32.0,65000.0
5019,38.0,95000.0
5021,28.0,55000.0
5023,34.0,85000.0
5025,44.0,85000.0
5027,42.0,75000.0
5029,32.5,75000.0
5031,38.0,115000.0
5033,35.0,105000.0
5035,35.0,95000.0
5037,36.0,75000.0
5039,31.0,65000.0
5041,31.0,75000.0
5043,41.0,95000.0
5045,42.0,125000.0
5047,34.0,75000.0
5049,34.0,70000.0
5051,37.0,105000.0
5053,42.5,110000.0
5055,35.0,95000.0
5057,35.0,65000.0
5059,37.0,75000.0
5061,28.0,85000.0
5063,35.0,85000.0
5065,28.5,65000.0
5067,28.5,55000.0
5069,34.0,75000.0
5071,30.0,85000.0
5073,50.0,55000.0
5075,29.0,65000.0
5077,34.0,65000.0
5079,34.0,80000.0
5081,36.5,55000.0
5083,31.0,75000.0
5085,40.0,115000.0
5087,34.0,100000.0
5089,30.0,85000.0
5091,41.0,85000.0
5093,31.0,65000.0
5095,36.0,65000.0
5097,38.5,95000.0
5099,28.5,50000.0
5101,35.0,105000.0
